"name","accept_rate","Outstate","Enroll","Grad.Rate","Private","isElite"
"Abilene Christian University",0.742168674698795,7440,721,60,"Yes","Not Elite"
"Adelphi University",0.880146386093321,12280,512,56,"Yes","Not Elite"
"Adrian College",0.768207282913165,11250,336,54,"Yes","Not Elite"
"Agnes Scott College",0.836930455635492,12960,137,59,"Yes","Elite"
"Alaska Pacific University",0.756476683937824,7560,55,15,"Yes","Not Elite"
"Albertson College",0.816013628620102,13500,158,55,"Yes","Not Elite"
"Albertus Magnus College",0.963172804532578,13290,103,63,"Yes","Not Elite"
"Albion College",0.905739863085835,13868,489,73,"Yes","Not Elite"
"Albright College",0.808285163776493,15595,227,80,"Yes","Not Elite"
"Alderson-Broaddus College",0.855670103092783,10468,172,52,"Yes","Not Elite"
"Alfred University",0.822748267898383,16548,472,73,"Yes","Not Elite"
"Allegheny College",0.716440422322775,17080,484,76,"Yes","Not Elite"
"Allentown Coll. of St. Francis de Sales",0.661577608142494,9690,290,74,"Yes","Not Elite"
"Alma College",0.85240726124704,12572,385,68,"Yes","Not Elite"
"Alverno College",0.633603238866397,8352,157,55,"Yes","Not Elite"
"American International College",0.769718309859155,8700,220,69,"Yes","Not Elite"
"Amherst College",0.230590423059042,19760,418,100,"Yes","Elite"
"Anderson University",0.746710526315789,10100,423,59,"Yes","Not Elite"
"Andrews University",0.623008849557522,9996,322,46,"Yes","Not Elite"
"Angelo State University",0.565254237288136,5130,1016,34,"No","Not Elite"
"Antioch University",0.927068723702665,15476,252,48,"Yes","Not Elite"
"Appalachian State University",0.63776835771913,6806,1910,70,"No","Not Elite"
"Aquinas College",0.833602584814216,11208,219,65,"Yes","Not Elite"
"Arizona State University Main campus",0.804746662502928,7434,3761,48,"No","Not Elite"
"Arkansas College (Lyon College)",0.471751412429379,8644,166,54,"Yes","Not Elite"
"Arkansas Tech University",0.997116493656286,3460,951,48,"No","Not Elite"
"Assumption College",0.796252927400468,12000,491,88,"Yes","Not Elite"
"Auburn University-Main Campus",0.899708532061473,6300,3070,69,"No","Not Elite"
"Augsburg College",0.774924471299094,11902,257,58,"Yes","Not Elite"
"Augustana College IL",0.882384246939862,13353,497,71,"Yes","Not Elite"
"Augustana College",0.9526938239159,10990,306,69,"Yes","Not Elite"
"Austin College",0.841772151898734,11280,295,71,"Yes","Not Elite"
"Averett College",0.886762360446571,9925,172,48,"Yes","Not Elite"
"Baker University",0.802325581395349,8620,206,65,"Yes","Not Elite"
"Baldwin-Wallace College",0.808284023668639,10995,662,85,"Yes","Not Elite"
"Barat College",0.735632183908046,9690,111,71,"Yes","Not Elite"
